peduc,age,labor,tenure,agegrp,tenuregrp,college,working,wage
college,43,-2.9750173,2,40-49,0-3,no,yes,16.35
college,67,-.98683727,6,60 up,4-7,no,no,20.8
high school or equivalent,44,3.0922623,7,40-49,4-7,no,yes,19.89
high school or equivalent,54,-4.6593394,0,50-59,0-3,no,no,15.09
college,24,.22866338,3,20-29,0-3,no,no,11.57
college,66,.38800737,7,60 up,4-7,no,yes,23.94
high school or equivalent,49,-.35238928,4,40-49,4-7,no,no,20.65
graduate,55,1.6390371,9,50-59,8 up,yes,yes,34.01
college,74,-2.6627071,5,60 up,4-7,yes,yes,34.02
high school or equivalent,21,-2.1820166,0,20-29,0-3,no,no,14.65
high school or equivalent,35,.28169292,3,30-39,0-3,no,yes,12.55
college,39,1.0377702,5,30-39,4-7,yes,yes,28.56
high school or equivalent,45,-2.1595414,2,40-49,0-3,no,yes,15.95
college,26,.42406565,4,20-29,4-7,no,no,9.69
graduate,27,-.65820259,4,20-29,4-7,no,no,15.41
high school or equivalent,73,1.6621491,8,60 up,8 up,no,no,20.01
high school or equivalent,31,2.1188705,5,30-39,4-7,no,yes,16.6
graduate,41,-1.2486701,4,40-49,4-7,yes,yes,23.34
college,65,-1.8650405,5,60 up,4-7,no,no,17.23
college,71,3.1840866,11,60 up,8 up,no,no,18.53
high school or equivalent,61,4.7486119,10,60 up,8 up,no,yes,24.23
college,42,-2.5699399,2,40-49,0-3,no,yes,19.41
high school or equivalent,67,1.858686,8,60 up,8 up,no,yes,20.44
college,28,.47332925,4,20-29,4-7,yes,yes,23.75
high school or equivalent,49,2.4436483,7,40-49,4-7,no,yes,22.39
high school or equivalent,26,.45298493,3,20-29,0-3,yes,yes,22.64
graduate,73,-.85848719,8,60 up,8 up,yes,no,28.04
college,31,-.90561444,3,30-39,0-3,no,yes,15.19
college,42,-.54480118,4,40-49,4-7,yes,yes,26.47
college,27,-2.3051,1,20-29,0-3,no,no,18.63
high school or equivalent,30,1.0810691,4,30-39,4-7,no,yes,15.32
high school or equivalent,32,1.8209689,5,30-39,4-7,yes,yes,25.41
doctorate,54,-.62733442,7,50-59,4-7,yes,yes,26.18
high school or equivalent,29,-1.1465951,1,20-29,0-3,yes,yes,26.05
college,30,-3.4712865,1,30-39,0-3,no,yes,11.88
college,41,1.4544903,6,40-49,4-7,yes,yes,26.42
high school or equivalent,39,2.2620552,6,30-39,4-7,no,yes,22.88
graduate,43,-1.2110318,5,40-49,4-7,yes,yes,25.56
high school or equivalent,45,-2.137027,2,40-49,0-3,no,yes,16.27
graduate,34,.28823096,5,30-39,4-7,yes,yes,23.04
college,39,-2.939189,1,30-39,0-3,no,yes,15.7
college,28,-.24673918,3,20-29,0-3,no,yes,14.1
